route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_20:40:00_1_-__25_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_21:10:00_1_-__26_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_21:40:00_1_-__27_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_22:10:00_1_-__28_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_22:40:00_1_-__29_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_08:25:00_1_-__1_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_09:25:00_1_-__2_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_10:25:00_1_-__3_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_11:30:00_1_-__4_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_12:35:00_1_-__5_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_13:35:00_1_-__6_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_14:40:00_1_-__7_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_15:30:00_1_-__8_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_16:30:00_1_-__9_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_17:35:00_1_-__10_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_18:40:00_1_-__11_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_19:45:00_1_-__12_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_20:50:00_1_-__13_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__3_22:00:00_1_-__14_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__2__047_,2_9__2__047_,2_9__2__047_-9__2__047__1_07:00:00_2_l6__1_9__2__047_,RINCÓN DE LAS ERAS-URB.LOS VALLES,2 LANZADERA 6 (Los Valles/FF.CC./Los Valles),1,,9__2__047__2_l6_IT_2,0
9__2__047_,2_9__2__047_,2_9__2__047_-9__2__047__1_07:20:00_1_l9__1_9__2__047_,MADROÑOS-AMBULATORIO,2 LANZADERA 9 (Negrales/FF.CC./Ambulatorio),0,,9__2__047__1_l9_IT_2,0
9__2__047_,2_9__2__047_,2_9__2__047_-9__2__047__1_07:45:00_2_l12__2_9__2__047_,CTRA.MORALZARZAL-COL.VIRGEN ENEBROS,2 LANZADERA 12  (Los Enebros/Los Negrales/Los Valles/Institutos),1,,9__2__047__2_l12_IT_2,0
